customer_id,total_revenue,total_orders,total_profit
1000,134763.45,270424,40944.72
1001,121704.25,273454,42519.95
1002,57880.799999999996,248812,23068.24
1003,168379.1,271618,53813.97
1004,61707.3,243004,18621.32
1005,147297.7,292008,50746.8
1006,131645.85,300506,46181.92
1007,105706.59999999999,237769,36009.54
1008,151690.15,248609,50330.29
1009,63903.8,114296,20617.2
1010,166679.75,409619,56939.89
1011,231825.0,299384,76176.51
1012,49478.9,177906,14361.27
1013,84986.3,249942,26384.87
1014,113302.75,259623,35129.39
1015,148205.6,233507,41851.39
1016,141861.25,246935,49968.39
1017,119658.95,295443,36614.1
1018,175696.44999999998,337666,52843.99
1019,57890.65,46917,20565.55
1020,228067.2,371872,77655.18
1021,149237.15,246811,50606.62
1022,230612.85,476875,79217.55
1023,164223.1,313538,58602.659999999996
1024,123507.5,183043,37699.54
1025,94624.9,264808,30729.14
1026,106352.7,228085,40461.69
1027,124241.15,237495,46071.12
1028,82785.8,139728,27370.02
1029,141308.25,414147,49817.04
1030,71899.85,132782,21131.45
1031,178037.9,307728,56755.76
1032,161240.15,341087,45346.71
1033,107182.5,196275,34197.89
1034,186181.55,411704,60999.02
1035,73153.7,211196,28291.46
1036,79252.95,193533,28194.95
1037,101056.2,154273,29344.16
1038,103894.9,182143,35276.27
1039,58120.55,263892,17331.010000000002
1040,99520.59999999999,244835,31211.16
1041,63018.1,108857,18893.34
1042,70899.9,72217,22741.42
1043,93520.15,154472,26575.93
1044,106732.25,170381,37062.95
1045,90145.4,303024,29420.7
1046,159894.5,422296,57026.15
1047,253030.80000000002,482510,88322.69
1048,93849.45,214880,36531.05
1049,114388.0,227233,35232.31
1050,107981.45,235210,36855.4
1051,125206.9,240776,39395.71
1052,119006.05,362823,40085.509999999995
1053,171855.45,307483,63542.95
1054,155157.85,250557,44082.96
1055,124851.55,298206,37257.72
1056,79761.8,76886,19981.15
1057,169621.25,217551,49350.32
1058,121079.05,194085,31702.44
1059,98983.05,222064,32822.62
1060,145839.7,387152,44439.57
1061,201957.15,304796,65404.079999999994
1062,97212.35,195503,31596.989999999998
1063,92382.7,224627,26323.21
1064,75013.25,81605,24335.54
1065,73456.7,117266,23584.32
1066,114780.1,229947,38041.71
1067,68251.8,165790,17717.76
1068,114085.55,266754,38581.590000000004
1069,228965.85,318643,71303.45
1070,148675.4,224190,53657.3
1071,161481.5,213064,52536.880000000005
1072,138747.4,169142,48976.48
1073,168469.25,329531,49449.61
1074,90131.1,164393,22570.260000000002
1075,151995.6,327458,54233.54
1076,162880.75,157456,50034.12
1077,35207.15,104654,10859.720000000001
1078,74706.65000000001,224835,18484.69
1079,109858.9,319261,30729.38
1080,60578.7,179268,20327.859999999997
1081,64260.05,268844,20081.01
1082,212312.15,465917,72649.78
1083,154390.6,300007,52258.78
1084,91139.3,277292,30119.34
1085,103106.8,272581,31241.059999999998
1086,113184.45000000001,366073,31813.63
1087,146973.1,305589,54523.67
1088,83342.2,257050,26467.67
1089,94337.09999999999,126052,25408.04
1090,151440.8,311764,48849.05
1091,169660.0,290398,54007.64
1092,101212.95,117816,36677.72
1093,97455.85,343144,29519.18
1094,62752.75,181321,18354.420000000002
1095,141855.45,423587,44508.78
1096,149022.2,216531,45628.74
1097,49422.55,87537,16222.53
1098,192233.95,327619,63731.46
1099,186033.05,264827,52505.38
1100,222286.75,279585,75685.59
1101,186417.15,260279,55037.31
1102,68801.0,107472,24850.74
1103,137709.5,270662,47558.78999999999
1104,80435.15,275560,25362.3
1105,65654.45,141989,21946.809999999998
1106,120535.65,302619,38780.12
1107,129602.3,320643,38121.62
1108,89366.09999999999,266484,25399.89
1109,200896.5,396311,61940.77
1110,64036.85,182472,16549.52
1111,153171.7,319402,51684.29
1112,123344.75,305564,42609.86
1113,144887.7,251404,50958.97
1114,18146.45,111508,7719.55
1115,106153.2,209518,37169.869999999995
1116,147657.95,262060,42414.7
1117,106477.7,200426,34283.23
1118,57830.75,165571,18286.11
1119,59965.5,110611,24307.96
1120,139044.8,290043,43510.7
1121,68324.09999999999,280738,18113.41
1122,126588.29999999999,422334,39303.16
1123,156972.19999999998,267518,43906.159999999996
1124,50285.45,166298,16696.31
1125,134920.45,348252,38324.56
1126,94061.75,155183,31872.36
1127,76239.4,118838,29439.55
1128,109904.95,149155,33113.01
1129,103670.7,239514,32905.26
1130,112189.8,300357,34271.090000000004
1131,219021.7,215159,76723.51
1132,110793.09999999999,324625,35057.91
1133,56013.55,131968,17029.03
1134,114059.5,180436,35010.24
1135,141549.1,375630,43450.01
1136,174895.4,275312,52256.67
1137,157969.9,346431,54200.9
1138,172965.45,227961,54220.57
1139,106521.9,166073,34834.1
1140,116412.35,254284,37542.88
1141,57916.3,185483,21357.85
1142,132480.75,322803,41164.12
1143,83072.25,272893,23749.79
1144,58946.25,211238,19437.73
1145,133325.8,266890,43285.93
1146,122781.75,263987,46681.05
1147,81874.25,131443,27183.83
1148,99320.55,241195,24762.51
1149,52812.850000000006,77217,20129.34
1150,120475.25,348007,35998.03
1151,115251.0,176403,40382.01
1152,132651.94999999998,209185,42942.41
1153,125884.2,348919,33739.68
1154,104893.9,289425,29584.760000000002
1155,104680.0,324634,38241.229999999996
1156,71376.6,179501,19057.04
1157,99115.6,253778,34212.56
1158,178849.5,441419,64925.479999999996
1159,21478.4,132035,6256.71
1160,112153.7,279567,36771.59
1161,123752.25,301149,37689.25
1162,143665.2,257617,48373.42
1163,126595.6,275011,42773.4
1164,76972.65,139005,25251.04
1165,149248.9,271123,51409.67
1166,99735.25,313946,35470.94
1167,209064.2,439138,64526.49
1168,168661.7,286630,53140.03
1169,178415.35,386458,57888.53
1170,135507.8,250881,50419.13
1171,68685.20000000001,214852,24098.25
1172,102862.6,228834,32988.270000000004
1173,223196.95,515087,68847.92
1174,82805.25,200255,26945.98
1175,115244.4,175931,39336.79
1176,84934.25,306429,29873.37
1177,86427.0,217256,26297.56
1178,166910.65,420128,54908.86
1179,137449.65,172565,45139.39
1180,66792.65,238536,23987.88
1181,104732.3,171925,36801.58
1182,137423.3,341300,43031.71
1183,181838.95,224901,65016.12
1184,179168.95,262017,56283.17
