order_date,region,net_revenue,profit
2022-01-01,East,174261.2,57927.08
2022-01-01,North,201045.7,70161.8
2022-01-01,South,148714.8,47111.0
2022-01-01,West,211521.45,73153.32
2022-01-02,East,115349.05,42135.97
2022-01-02,North,179201.8,56315.079999999994
2022-01-02,South,106348.1,37247.78
2022-01-02,West,108742.2,37501.26
2022-01-03,East,157548.45,52101.329999999994
2022-01-03,North,157482.4,51815.07
2022-01-03,South,113142.95,43597.33
2022-01-03,West,148388.5,42272.05
2022-01-04,East,105291.79999999999,31180.53
2022-01-04,North,67871.45,25858.59
2022-01-04,South,74458.35,27495.72
2022-01-04,West,182078.5,64026.9
2022-01-05,East,147627.4,50275.69
2022-01-05,North,81239.05,26124.52
2022-01-05,South,246248.65,77319.75
2022-01-05,West,181301.5,62902.79
2022-01-06,East,77990.0,24698.16
2022-01-06,North,134164.1,40766.13
2022-01-06,South,315515.7,103197.12
2022-01-06,West,246397.65,74931.94
2022-01-07,East,283640.55,100873.39
2022-01-07,North,82045.15,27033.21
2022-01-07,South,171492.65,55809.42
2022-01-07,West,143657.05,52132.34
2022-01-08,East,123713.54999999999,39806.630000000005
2022-01-08,North,272034.2,88916.39
2022-01-08,South,196829.4,69256.15
2022-01-08,West,134817.6,48028.1
2022-01-09,East,155335.75,50902.8
2022-01-09,North,93147.8,29492.04
2022-01-09,South,136869.1,43257.32
2022-01-09,West,50643.75,17794.54
2022-01-10,East,205718.05,69975.15
2022-01-10,North,199743.7,66279.67
2022-01-10,South,122168.75,44009.38
2022-01-10,West,289511.8,94926.71
2022-01-11,East,130749.0,40983.0
2022-01-11,North,132369.3,41726.4
2022-01-11,South,90155.65,29963.86
2022-01-11,West,159905.55,50704.71
2022-01-12,East,182030.9,56778.200000000004
2022-01-12,North,250002.65,84883.82
2022-01-12,South,73097.8,22545.9
2022-01-12,West,284401.55,94037.14
2022-01-13,East,181732.9,64107.37
2022-01-13,North,189309.2,57343.99
2022-01-13,South,196321.45,63947.020000000004
2022-01-13,West,204033.05,64687.240000000005
2022-01-14,East,252743.25,82615.87
2022-01-14,North,199665.85,61706.52
2022-01-14,South,184275.44999999998,61066.57
2022-01-14,West,180858.1,64213.69
2022-01-15,East,135643.6,48724.270000000004
2022-01-15,North,153218.95,48669.89
2022-01-15,South,78059.65,27499.440000000002
2022-01-15,West,88061.75,26634.87
2022-01-16,East,225468.0,68237.05
